,bite_Year,bite_Month,SpeciesIDDesc,GenderIDDesc,color,vaccination_yrs,victim_zip,WhereBittenIDDesc,Gender
0,1985,5,DOG,FEMALE,LIG. BROWN,1,40229,BODY,0
6,1990,2,DOG,FEMALE,BLACK/WHIT,1,40203,BODY,0
41,2009,12,DOG,MALE,TAN-BRN,1,40291,BODY,1
44,2009,12,DOG,MALE,BRN-WHT,1,40165,HEAD,1
47,2009,12,DOG,FEMALE,WHT-BRN,3,40291,BODY,0
48,2009,12,DOG,FEMALE,WHITE,3,40229,BODY,0
50,2009,12,DOG,FEMALE,BLK-WHT,1,40220,BODY,0
51,2009,12,DOG,MALE,WHT-GRAY,3,40220,BODY,1
52,2009,12,CAT,MALE,WHITE,1,40220,BODY,1
53,2009,12,DOG,MALE,BRN,1,40241,BODY,1
54,2010,1,DOG,FEMALE,WHT,1,40228,BODY,0
55,2010,1,DOG,MALE,BLK-BRN,3,40291,HEAD,1
59,2010,1,DOG,FEMALE,BRN-WHT,1,40071,HEAD,0
61,2010,1,DOG,FEMALE,BLK,1,40291,BODY,0
62,2010,1,DOG,MALE,TAN,1,40031,HEAD,1
63,2010,1,DOG,MALE,BLK-TAN,1,40241,BODY,1
64,2010,1,DOG,FEMALE,BRN,1,40291,BODY,0
66,2010,1,DOG,FEMALE,TAN,3,40217,HEAD,0
67,2010,1,DOG,MALE,BLK,3,40219,BODY,1
68,2010,1,DOG,MALE,COPPER-WHT,1,40222,BODY,1
70,2010,1,DOG,FEMALE,WHT-BUFF,1,40291,BODY,0
75,2010,1,DOG,MALE,BRN,1,40272,BODY,1
76,2010,1,DOG,MALE,BLK-WHT,3,40272,HEAD,1
77,2010,1,DOG,FEMALE,BRINDLE,3,40272,HEAD,0
80,2010,1,DOG,MALE,BLK,1,40219,BODY,1
83,2010,1,DOG,MALE,YELLOW,1,40299,BODY,1
84,2010,1,DOG,MALE,BLACK/BROW,1,40272,HEAD,1
85,2010,1,CAT,FEMALE,BLK-WHT,1,40222,BODY,0
86,2010,1,DOG,MALE,TRI,3,40219,BODY,1
87,2010,1,DOG,MALE,BLUE,1,40205,BODY,1
88,2010,1,CAT,MALE,BROWN,1,40206,BODY,1
89,2010,1,DOG,MALE,BLK,3,40207,BODY,1
90,2010,1,DOG,MALE,BLK,1,40223,BODY,1
91,2010,1,DOG,FEMALE,BRN,1,40223,HEAD,0
94,2010,1,DOG,MALE,RED,3,40245,HEAD,1
96,2010,1,DOG,FEMALE,FAWN-WHT,1,42784,BODY,0
99,2010,1,DOG,MALE,BLACK,1,40299,BODY,1
103,2010,1,DOG,FEMALE,BRN-BLACK,1,40229,BODY,0
104,2010,1,DOG,FEMALE,TAN,1,40218,HEAD,0
105,2010,1,DOG,FEMALE,BLK-TAN,1,40204,BODY,0
107,2010,1,DOG,FEMALE,TAN,1,40291,BODY,0
109,2010,1,CAT,FEMALE,BLK,1,46011,BODY,0
110,2010,1,DOG,MALE,RED-WHT,1,40218,BODY,1
112,2010,1,CAT,MALE,TAN-BRN,1,40299,HEAD,1
114,2010,1,DOG,MALE,BLK-WHT,1,40220,BODY,1
115,2010,2,DOG,MALE,BROWN,1,40215,BODY,1
118,2010,2,DOG,MALE,BLONDE,1,40059,HEAD,1
120,2010,2,DOG,MALE,BROWN-BLK,1,40205,BODY,1
127,2010,2,DOG,FEMALE,WHT-BRN,3,40215,HEAD,0
128,2010,2,DOG,MALE,TRI,3,40228,BODY,1
132,2010,2,DOG,MALE,GRAY,1,40214,BODY,1
133,2010,2,DOG,FEMALE,BLK,1,40204,BODY,0
134,2010,2,DOG,MALE,BLK-WHT,1,40014,BODY,1
135,2010,2,CAT,FEMALE,BLK-WHT,1,40207,BODY,0
136,2010,2,DOG,FEMALE,SILVER,1,40217,BODY,0
139,2010,2,DOG,MALE,BRN-WHT,1,40218,BODY,1
141,2010,2,DOG,MALE,BLK,1,40229,BODY,1
147,2010,2,DOG,FEMALE,GRAY,1,40245,BODY,0
149,2010,2,CAT,MALE,ORANGE,1,40229,BODY,1
150,2010,2,DOG,MALE,TRI,1,40299,BODY,1
151,2010,2,DOG,MALE,BLACK-TAN,1,40241,BODY,1
152,2010,2,DOG,MALE,WHT,1,40291,BODY,1
153,2010,2,CAT,FEMALE,WHT-BLK,1,40241,BODY,0
158,2010,2,DOG,FEMALE,BLK-TAN,3,47150,BODY,0
161,2010,2,DOG,FEMALE,BRN-WHT,3,40214,BODY,0
165,2010,2,CAT,MALE,LT. BR,1,40047,BODY,1
166,2010,2,DOG,FEMALE,BLK,1,40241,BODY,0
167,2010,2,DOG,FEMALE,TRI,1,40258,BODY,0
171,2010,2,DOG,FEMALE,BLACK,1,40059,BODY,0
172,2010,2,DOG,MALE,RED,1,40206,BODY,1
174,2010,2,DOG,MALE,BLK-WHT,1,40222,BODY,1
177,2010,2,CAT,FEMALE,GRAY,1,40222,BODY,0
182,2010,3,DOG,FEMALE,BLK-WHT,3,40241,BODY,0
187,2010,3,DOG,MALE,WHT,1,40204,BODY,1
189,2010,3,DOG,MALE,BRN,1,40220,HEAD,1
196,2010,3,DOG,MALE,BLK-BRN,1,40243,BODY,1
199,2010,3,DOG,MALE,CREAM,1,40241,HEAD,1
200,2010,3,DOG,MALE,BLK-WHT,1,40208,BODY,1
207,2010,3,DOG,MALE,TRI,1,40006,BODY,1
208,2010,3,DOG,FEMALE,BLACK,1,40223,BODY,0
212,2010,3,CAT,FEMALE,TRI,1,40219,BODY,0
213,2010,3,CAT,FEMALE,BLK-WHT,1,40245,BODY,0
214,2010,3,DOG,FEMALE,CREAM-WHT,1,40222,HEAD,0
215,2010,3,DOG,FEMALE,WHITE,1,40216,BODY,0
217,2010,3,DOG,MALE,TRI,1,40219,BODY,1
219,2010,3,DOG,FEMALE,TRI,1,40291,BODY,0
220,2010,3,DOG,MALE,WHT,1,40216,BODY,1
221,2010,3,DOG,MALE,BRN-WHT,1,40241,HEAD,1
222,2010,3,DOG,FEMALE,BRINDLE,1,40214,BODY,0
223,2010,3,DOG,MALE,BLACK,1,40299,BODY,1
225,2010,3,DOG,MALE,WHITE,1,40272,BODY,1
228,2010,3,DOG,MALE,BLACK,1,40258,BODY,1
231,2010,3,CAT,FEMALE,GRAY,1,40213,BODY,0
233,2010,3,DOG,FEMALE,BROWN-TAN,1,40218,BODY,0
237,2010,3,DOG,MALE,BLK,1,40243,BODY,1
238,2010,3,DOG,MALE,WHT-BLK,1,87604,BODY,1
239,2010,3,DOG,MALE,WHT-BLK,3,40243,BODY,1
247,2010,3,DOG,MALE,CHOCOLATE,1,40205,BODY,1
248,2010,3,DOG,MALE,BLK-BRN,3,40243,HEAD,1
249,2010,3,DOG,MALE,BLACK,1,40299,BODY,1
254,2010,3,DOG,FEMALE,BROWNISHRE,3,40213,BODY,0
256,2010,3,DOG,FEMALE,WHITE,1,40220,BODY,0
258,2010,3,DOG,MALE,BLK-BRN,3,40223,BODY,1
261,2010,3,DOG,FEMALE,WHITE,3,40222,BODY,0
264,2010,3,DOG,MALE,GOLDEN,3,40223,HEAD,1
265,2010,3,DOG,MALE,BROWN,3,40245,BODY,1
268,2010,4,DOG,MALE,BROWN,1,40241,HEAD,1
270,2010,4,DOG,MALE,TAN,1,40241,HEAD,1
271,2010,4,DOG,MALE,WHITE,3,40211,HEAD,1
272,2010,4,CAT,MALE,GREY-WHT,1,40223,BODY,1
273,2010,4,DOG,FEMALE,BLK-WHT,3,40245,BODY,0
274,2010,4,CAT,MALE,GRAY,1,40207,BODY,1
281,2010,4,DOG,MALE,BLACK-WHT,1,40205,BODY,1
