,bite_Year,bite_Month,vaccination_yrs,victim_zip
0,1985,5,1,40229
6,1990,2,1,40203
41,2009,12,1,40291
44,2009,12,1,40165
47,2009,12,3,40291
48,2009,12,3,40229
50,2009,12,1,40220
51,2009,12,3,40220
52,2009,12,1,40220
53,2009,12,1,40241
54,2010,1,1,40228
55,2010,1,3,40291
59,2010,1,1,40071
61,2010,1,1,40291
62,2010,1,1,40031
63,2010,1,1,40241
64,2010,1,1,40291
65,2010,1,1,40217
66,2010,1,3,40217
67,2010,1,3,40219
68,2010,1,1,40222
70,2010,1,1,40291
75,2010,1,1,40272
76,2010,1,3,40272
77,2010,1,3,40272
80,2010,1,1,40219
83,2010,1,1,40299
84,2010,1,1,40272
85,2010,1,1,40222
86,2010,1,3,40219
87,2010,1,1,40205
88,2010,1,1,40206
89,2010,1,3,40207
90,2010,1,1,40223
91,2010,1,1,40223
94,2010,1,3,40245
96,2010,1,1,42784
99,2010,1,1,40299
102,2010,1,1,40272
103,2010,1,1,40229
104,2010,1,1,40218
105,2010,1,1,40204
107,2010,1,1,40291
109,2010,1,1,46011
110,2010,1,1,40218
112,2010,1,1,40299
114,2010,1,1,40220
115,2010,2,1,40215
118,2010,2,1,40059
120,2010,2,1,40205
127,2010,2,3,40215
128,2010,2,3,40228
130,2010,2,1,40218
132,2010,2,1,40214
133,2010,2,1,40204
134,2010,2,1,40014
135,2010,2,1,40207
136,2010,2,1,40217
139,2010,2,1,40218
141,2010,2,1,40229
142,2010,2,1,40242
143,2010,2,1,40207
147,2010,2,1,40245
149,2010,2,1,40229
150,2010,2,1,40299
151,2010,2,1,40241
152,2010,2,1,40291
153,2010,2,1,40241
155,2010,2,1,40206
158,2010,2,3,47150
161,2010,2,3,40214
165,2010,2,1,40047
166,2010,2,1,40241
167,2010,2,1,40258
171,2010,2,1,40059
172,2010,2,1,40206
174,2010,2,1,40222
177,2010,2,1,40222
182,2010,3,3,40241
187,2010,3,1,40204
189,2010,3,1,40220
192,2010,3,1,40299
196,2010,3,1,40243
199,2010,3,1,40241
200,2010,3,1,40208
205,2010,3,3,40291
207,2010,3,1,40006
208,2010,3,1,40223
212,2010,3,1,40219
213,2010,3,1,40245
214,2010,3,1,40222
215,2010,3,1,40216
217,2010,3,1,40219
219,2010,3,1,40291
220,2010,3,1,40216
221,2010,3,1,40241
222,2010,3,1,40214
223,2010,3,1,40299
225,2010,3,1,40272
226,2010,3,1,40272
228,2010,3,1,40258
229,2010,3,1,40203
231,2010,3,1,40213
233,2010,3,1,40218
237,2010,3,1,40243
238,2010,3,1,87604
239,2010,3,3,40243
243,2010,3,1,42027
247,2010,3,1,40205
248,2010,3,3,40243
249,2010,3,1,40299
254,2010,3,3,40213
256,2010,3,1,40220
258,2010,3,3,40223
259,2010,3,3,40214
261,2010,3,3,40222
264,2010,3,3,40223
265,2010,3,3,40245
268,2010,4,1,40241
270,2010,4,1,40241
271,2010,4,3,40211
272,2010,4,1,40223
273,2010,4,3,40245
274,2010,4,1,40207
276,2010,4,3,40222
281,2010,4,1,40205
283,2010,4,3,40118
287,2010,4,1,40241
289,2010,4,1,40219
291,2010,4,1,40059
295,2010,4,3,40218
298,2010,4,1,40229
300,2010,4,1,47129
301,2010,4,3,40203
303,2010,4,1,40205
304,2010,4,1,40223
306,2010,4,1,40241
309,2010,4,1,40215
310,2010,4,2,40243
311,2010,4,1,40228
312,2010,4,1,40229
313,2010,4,1,40165
318,2010,4,2,40204
320,2010,4,1,40207
321,2010,4,3,40218
322,2010,4,1,40219
323,2010,4,3,40218
325,2010,4,1,40299
326,2010,4,1,40222
333,2010,4,1,40245
