bite_Year,bite_Month,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,ResultsIDDesc
1985,5,DOG,,FEMALE,LIG. BROWN,1,1985-6,40229,NO,BODY,1985-5,UNKNOWN,,,UNKNOWN
1986,2,DOG,,UNKNOWN,BRO & BLA,,,40218,NO,BODY,1986-2,UNKNOWN,,,UNKNOWN
1987,5,DOG,,UNKNOWN,,,,40219,NO,BODY,1990-5,UNKNOWN,,,UNKNOWN
1988,10,DOG,,MALE,BLA & BRO,,,,NO,BODY,1990-10,UNKNOWN,,,UNKNOWN
1989,8,DOG,,FEMALE,BLK-WHT,,,,NO,BODY,,UNKNOWN,,,UNKNOWN
1989,11,DOG,,UNKNOWN,,,,40211,NO,BODY,,UNKNOWN,,,UNKNOWN
1990,2,DOG,,FEMALE,BLACK/WHIT,1,1990-2,40203,NO,BODY,1990-2,UNKNOWN,,,UNKNOWN
1990,2,DOG,,MALE,BLK-WHT,,,,NO,BODY,1990-2,RELEASED,,,UNKNOWN
1990,8,DOG,,MALE,BROWN,,,,NO,BODY,1990-8,UNKNOWN,,,UNKNOWN
1990,8,DOG,,UNKNOWN,BRN-TAN,,,,NO,BODY,1990-8,RELEASED,,,UNKNOWN
1990,8,DOG,,MALE,TRI,,,,NO,HEAD,1990-9,RELEASED,,,UNKNOWN
1990,10,DOG,,MALE,BLK,,,,NO,BODY,1990-10,RELEASED,,,UNKNOWN
1991,2,DOG,,MALE,BLK-BRN,,,,NO,BODY,1991-2,RELEASED,,,UNKNOWN
1991,7,DOG,,MALE,BLK-BRN,,,,YES,BODY,1991-7,RELEASED,,,UNKNOWN
1991,9,DOG,,MALE,WHT,,,,NO,BODY,1991-9,RELEASED,,,UNKNOWN
1991,10,DOG,,FEMALE,WHT-BRN,,,,NO,HEAD,1991-10,RELEASED,,,UNKNOWN
1991,11,DOG,,UNKNOWN,,,,,NO,BODY,1991-11,RELEASED,,,UNKNOWN
1992,2,DOG,,MALE,BLK,,,,NO,BODY,1992-2,UNKNOWN,,,UNKNOWN
1992,2,DOG,,MALE,BLK-TAN,,,,NO,BODY,1992-3,RELEASED,,,UNKNOWN
1992,3,DOG,,MALE,WHT,,,,NO,BODY,1992-3,RELEASED,,,UNKNOWN
1992,3,CAT,,UNKNOWN,,,,,NO,HEAD,1992-3,RELEASED,,,UNKNOWN
1992,4,DOG,,UNKNOWN,BLK,,,,NO,BODY,1992-4,RELEASED,,,UNKNOWN
1992,5,DOG,,UNKNOWN,BLK,,,,NO,BODY,1992-5,RELEASED,,,UNKNOWN
1992,6,DOG,,MALE,BRN,,,,NO,BODY,1992-6,RELEASED,,,UNKNOWN
1992,6,DOG,,FEMALE,RED,,,,NO,BODY,1992-6,RELEASED,,,UNKNOWN
1992,8,DOG,,UNKNOWN,WHITE,,,40215,NO,BODY,1992-8,RELEASED,,,UNKNOWN
1992,8,DOG,,MALE,BRN-BLK,,,40210,NO,BODY,1992-8,RELEASED,,,UNKNOWN
1993,4,DOG,,UNKNOWN,,,,,NO,BODY,1993-4,RELEASED,,,UNKNOWN
1993,4,CAT,,UNKNOWN,,,,,NO,BODY,1993-4,RELEASED,,,UNKNOWN
1993,5,DOG,,MALE,BRN,,,,NO,HEAD,1993-5,RELEASED,,,UNKNOWN
1993,6,DOG,,UNKNOWN,,,,,NO,BODY,1993-6,RELEASED,,,UNKNOWN
1993,7,DOG,,FEMALE,BRN,,,,YES,BODY,1993-7,RELEASED,,,UNKNOWN
1993,12,DOG,,UNKNOWN,,,,,NO,BODY,1993-12,RELEASED,,,UNKNOWN
1994,3,DOG,,MALE,BRN-BLK,,,,NO,BODY,1994-4,RELEASED,,,UNKNOWN
1994,4,DOG,,MALE,BLK,,,,NO,BODY,1994-4,RELEASED,,,UNKNOWN
1994,5,DOG,,UNKNOWN,,,,,NO,BODY,1994-5,RELEASED,,,UNKNOWN
1994,5,DOG,,FEMALE,MULT COLOR,,,,NO,HEAD,1994-5,RELEASED,,,UNKNOWN
1994,5,DOG,,MALE,TRI,,,,NO,BODY,1994-5,RELEASED,,,UNKNOWN
1994,6,DOG,,UNKNOWN,,,,,NO,BODY,1994-6,RELEASED,,,UNKNOWN
1994,7,DOG,,UNKNOWN,,,,,NO,BODY,1994-7,RELEASED,,,UNKNOWN
2009,10,CAT,,FEMALE,GRAY,,,40206,NO,BODY,2009-10,UNKNOWN,,,UNKNOWN
2009,12,DOG,,MALE,TAN-BRN,1,2010-1,40291,NO,BODY,2009-12,RELEASED,,,UNKNOWN
2009,12,DOG,,MALE,BLK-BRN,,,40272,NO,BODY,2009-12,RELEASED,,,UNKNOWN
2009,12,DOG,,UNKNOWN,BLACK,,,40218,NO,HEAD,2009-12,UNKNOWN,,,UNKNOWN
2009,12,DOG,,MALE,BRN-WHT,1,2009-4,40165,NO,HEAD,2009-12,RELEASED,,,UNKNOWN
2009,12,DOG,,UNKNOWN,BLACK,,,40229,NO,BODY,2009-12,UNKNOWN,,,UNKNOWN
2009,12,DOG,,UNKNOWN,BLACK,,,40299,NO,HEAD,2009-12,UNKNOWN,,,UNKNOWN
2009,12,DOG,,FEMALE,WHT-BRN,3,2008-6,40291,NO,BODY,2009-12,RELEASED,,,UNKNOWN
2009,12,DOG,,FEMALE,WHITE,3,2010-1,40229,NO,BODY,2009-12,RELEASED,,,UNKNOWN
2009,12,DOG,,MALE,BLK-WHT,,,40218,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2009,12,DOG,,FEMALE,BLK-WHT,1,2009-12,40220,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2009,12,DOG,,MALE,WHT-GRAY,3,2008-8,40220,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2009,12,CAT,,MALE,WHITE,1,2010-1,40220,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2009,12,DOG,,MALE,BRN,1,2009-7,40241,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,WHT,1,2009-10,40228,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-BRN,3,2008-2,40291,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,UNKNOWN,,,,40219,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,CAT,,FEMALE,,,,40291,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,UNKNOWN,BLK,,,40216,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,FEMALE,BRN-WHT,1,2010-1,40071,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,CAT,,UNKNOWN,BLK-WHT,,,40216,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,FEMALE,BLK,1,2010-1,40291,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,TAN,1,2009-9,40031,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-TAN,1,2009-2,40241,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,FEMALE,BRN,1,2009-3,40291,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,UNKNOWN,BLUE,1,2009-5,40217,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,TAN,3,2010-2,40217,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK,3,2010-2,40219,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,COPPER-WHT,1,2009-3,40222,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-WHT,,,40214,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,WHT-BUFF,1,2010-1,40291,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,UNKNOWN,BLK-WHT,,,40219,NO,BODY,,UNKNOWN,2010/1/10 0:00,,UNKNOWN
2010,1,CAT,,UNKNOWN,,,,40272,YES,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,CAT,,UNKNOWN,BLK,,,40272,NO,BODY,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,UNKNOWN,WHT,,,40229,YES,HEAD,2010-1,UNKNOWN,,,UNKNOWN
2010,1,DOG,,MALE,BRN,1,2010-2,40272,NO,BODY,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BLK-WHT,3,,40272,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,FEMALE,BRINDLE,3,2007-3,40272,NO,HEAD,2010-1,RELEASED,,,UNKNOWN
2010,1,DOG,,MALE,BRN-WHT,,,40214,NO,BODY,,UNKNOWN,2010/1/14 0:00,,UNKNOWN
